measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Kyrgyzstan,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,2999.979280574,3425.54083995738,2563.25345891442
Prevalence,Viet Nam,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,3131.9818933935,3592.67915990239,2686.03730097621
Prevalence,Kazakhstan,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,2813.22800077458,3229.98589846507,2393.2723378831
Prevalence,Georgia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,4352.4577591753,4972.71787768042,3734.69757840688
Prevalence,Timor-Leste,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,2818.76087080468,3271.55079623692,2398.83214012551
Prevalence,Sri Lanka,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,2824.86044300154,3243.88810576231,2425.6223619890297
Prevalence,Azerbaijan,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,2719.43588657508,3111.9615421367102,2336.34661142499
Prevalence,Thailand,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,3146.64919912351,3591.90629411046,2720.22188420889
Prevalence,Armenia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,3588.24790058394,4131.62523018128,3068.34804089183
Prevalence,Maldives,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,3240.80281281015,3737.34048230268,2770.93031571875
Prevalence,Vanuatu,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,2160.69098769247,2519.7638896037397,1819.355353238
Prevalence,Myanmar,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,3016.82711255265,3486.70443458925,2584.4675153573903
Prevalence,Philippines,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,2846.20804690731,3279.9580603777194,2450.63813142567
Prevalence,Lao People's Democratic Republic,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,2745.32654045894,3138.52759345103,2362.49222336386
Prevalence,Malaysia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,2897.96470217655,3333.89067849185,2481.86940863274
Prevalence,Solomon Islands,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,2518.34147996703,2917.49083699436,2123.3871772066
Prevalence,Tonga,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,3544.5399450118903,4108.41683627717,3026.64861741521
Prevalence,Papua New Guinea,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,2333.25260780235,2684.6074048578803,1994.3241577165702
Prevalence,Micronesia (Federated States of),Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,2377.9342100108297,2743.09302446425,2033.81692271743
Prevalence,Samoa,Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,2885.01910304004,3362.15667423218,2440.97026170458
Prevalence,Taiwan (Province of China),Both,55+ years,Alzheimer's disease and other dementias,Rate,2015,3089.83089967023,3485.3839977546,2611.1057469505
