measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Kyrgyzstan,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,3095.55155208938,3546.4100262508796,2645.7825181703897
Prevalence,Viet Nam,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,3202.9970146377796,3672.4497153871503,2758.2430310251398
Prevalence,Kazakhstan,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,2859.4863055884002,3280.9685568351,2437.6988799288
Prevalence,Timor-Leste,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,2731.86161033265,3148.9544319977103,2332.41982678832
Prevalence,Georgia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,4413.27107486007,5048.39142549588,3795.0297437775
Prevalence,Thailand,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,3130.39022270021,3580.08729670216,2710.0115422703802
Prevalence,Sri Lanka,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,2814.30938548397,3230.0944581841495,2411.9954672562003
Prevalence,Azerbaijan,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,2825.99267589174,3227.9191631822505,2426.8361710910303
Prevalence,Myanmar,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,3037.29088868458,3498.7581513645805,2597.01062806172
Prevalence,Armenia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,3609.5192500844196,4156.1689287644695,3097.80617688548
Prevalence,Philippines,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,2856.26027073789,3291.58219284935,2460.94361982335
Prevalence,Maldives,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,3247.6056752503405,3746.3484349352802,2764.10168227063
Prevalence,Tonga,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,3545.8645934600604,4109.37180454119,3016.23907129492
Prevalence,Lao People's Democratic Republic,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,2760.37721990023,3152.40611063397,2374.90129021278
Prevalence,Indonesia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,2637.05188801571,3043.55252338045,2255.85620199393
Prevalence,Cambodia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,2680.60218588285,3090.1854152896103,2299.1186289471802
Prevalence,Vanuatu,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,2152.0081686328604,2507.15870933683,1814.66455303072
Prevalence,Papua New Guinea,Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,2357.18716150046,2716.06669751262,2017.0566786249199
Prevalence,Taiwan (Province of China),Both,55+ years,Alzheimer's disease and other dementias,Rate,2014,3096.5144703437,3476.65016185544,2632.45148857093
